slug,name,status,risk_level,source_type,source_page_url,image_url,local_file,note
mulkkong-sikdang,물꽁식당,review_needed,safe,public_tourism,https://ncms.nculture.org/food/story/762,,,공식 홈페이지 없음. 지역N문화(한국문화원연합회)·부산역사문화대전 등 공공자료에 부산아구찜/물꽁식당 소개(SAFE-tier). 이미지 JS 로딩으로 자동추출 불가. 운영자 수동 확보 권장.
baekban-yeongdo-jinju-sikdang,진주식당,review_needed,safe,public_tourism,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=53234,,,공식 홈페이지 없음. 관광공사 영문 페이지 존재(SAFE). 본문 사진 JS 로딩으로 자동추출 불가. 운영자 수동 확보 권장.
bapsang-gijang-haebyeon-jipbul-gomjangeo,해변짚불곰장어,review_needed,safe,public_tourism,https://ncms.nculture.org/food/story/1931,,,공식 홈페이지 없음. 기장군청 관광 + 지역N문화 짚불곰장어 소개(SAFE-tier). 사진이 이 식당 특정인지 확인 필요 + JS 로딩. 운영자 검토 권장.
baekban-haeundae-yangs-yanggopchang,양가네 양곱창,skipped_unsafe,unsafe,user_generated,https://www.siksinhot.com/P/389887,,,공식 홈페이지/관광페이지 없음. 식신·다이닝코드·트립(UGC). 백반기행 기사(텍스트)만. SAFE 후보 없음.
saengdal-geumjeong-songs-bakery,송스 베이커리,skipped_unsafe,unsafe,official_sns,https://www.instagram.com/songsbakery/,,,"공식 홈페이지 없음. 인스타(@songsbakery, 로그인 필요)·다이닝코드·당근(UGC)만. SAFE 후보 없음."
saengsaeng-sasang-jurye-suyuk-kalguksu,주례수육칼국수 2호점,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?rid=ednOUFaFr2dM,,,공식 홈페이지 없음. 다이닝코드·식신·블로그(UGC)만. SAFE 후보 없음.
subyeon-choego-doejigukbap-minrak,수변최고돼지국밥 민락본점,review_needed,safe,public_tourism,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=82d02bcb-77d4-40d5-a92c-e9e12f00dfea,,,자체 도메인(수변최고돼지국밥.kr) 있으나 SSL 인증서 만료로 접근 불가. 관광공사 페이지(SAFE)는 이미지 JS 로딩. 운영자 수동 확보 권장.
saengdal-saha-cheramie,쉐라미과자점,review_needed,review,article,https://www.busan.com/view/busan/view.php?code=20181009000192,,,공식 홈페이지 없음. 부산일보 기사(REVIEW)에 애플파이 사진 있음. 직접 다운로드는 핫링크 차단으로 실패(download_failed) → 운영자가 기사 페이지에서 확인 필요.
live-today-suyeong-geumsin-jeonseon-sangyusibi,금신전선 상유십이,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?rid=do3i8FGHr7Xm,,,공식 홈페이지/관광페이지 없음. 다이닝코드·블로그(UGC)만. SAFE 후보 없음.
2tv-gijang-kimmida-myeol,김미다멸 본점,no_candidate_found,unknown,unknown,,,,다양한 표기(김미다멸/기다멸)로 검색해도 해당 식당의 웹 노출 없음. 일반 기장미역 판매처/타 미역국집만 나옴. 출처 페이지 특정 불가.
sungsik-gwangalli-jinmi-eonyang-bulgogi,진미언양불고기,downloaded_safe,safe,official_site,https://jinmi1982.com/sub/sub3.php,https://jinmi1982.com/theme/foodme/mobile/shop/img/menu02_02.png,sungsik-gwangalli-jinmi-eonyang-bulgogi.webp,"공식 홈페이지(자체 도메인) 메뉴 페이지의 언양불고기 사진. 음식 중심, 워터마크 없음. 다만 원본이 400x280 으로 작은 편(권장 600px 미만) — 추후 고해상도 교체 권장."
saengdal-bukgu-shunsaikubo,슌사이쿠보 화명,skipped_unsafe,unsafe,official_sns,https://www.instagram.com/sevenstar1001/,,,"공식 홈페이지 없음. 인스타(@sevenstar1001, 로그인 필요)·블로그·리뷰(UGC)만. SAFE 후보 없음."
pungja-nampo-milyangjib,밀양집,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?rid=xLe9skCTbyj9,,,깡통시장 노포. 공식 홈페이지 없음. 다이닝코드·블루어·트립(UGC)만. SAFE 후보 없음.
samdae-seomyeon-gijang-son-kalguksu,기장손칼국수,review_needed,safe,public_tourism,https://www.visitbusan.net/index.do?menuCd=DOM_000000201002001000&uc_seq=1817&lang_cd=ko,,,공식 홈페이지 없음. Visit Busan(SAFE) 페이지 존재. 음식사진 JS 로딩으로 자동추출 불가. 운영자 수동 확보 권장.
sungsik-gwangalli-geumson-1983,금손1983,skipped_unsafe,unsafe,official_sns,https://www.instagram.com/geumson1983/,,,자체 도메인 없음. 인스타(로그인 필요)·캐치테이블·식신·다이닝코드(UGC)만. SAFE 후보 없음.
saengdal-gijang-ilgwangdang,일광당,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?rid=8Jem2qVNNZgD,,,포장 위주 가게. 공식 홈페이지 없음. 블로그·다이닝코드(UGC)만. SAFE 후보 없음.
saengdal-gijang-jeil-bunsik,제일분식,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?query=제일분식,,,간판 없는 노포. 공식 홈페이지 없음. 블로그·식신·인스타·다이닝코드(UGC)만. SAFE 후보 없음.
2tv-bupyeong-kkang-dwaehu,깡돼후,skipped_unsafe,unsafe,official_sns,https://www.facebook.com/back3kings/,,,공식 페이스북(로그인 필요)만. SSG/비비수산 밀키트는 깡돼후 브랜드 확인 안 됨(귀속 금지). SAFE 후보 없음.
samdae-seomyeon-wonjo-halmae-nakji,원조할매낙지,review_needed,review,article,,,,"공식 홈페이지 없음. 서울경제(sedaily) 기사 존재(REVIEW). 컬리 밀키트는 ""원조 조방낙지"" 로 브랜드가 달라(조방낙지≠원조할매낙지) 사용 금지 — 동일 식당 보장 안 됨. 운영자 직접 확인 필요."
baekhwa-yanggopchang-1ho,백화양곱창 1호,review_needed,safe,public_tourism,https://www.visitbusan.net/index.do?lang_cd=ko&menuCd=DOM_000000201002004001&uc_seq=2483,,,"Visit Busan(SAFE) 페이지 존재. 정적 HTML 에서 뽑힌 이미지는 실제 사진이 아닌 ""VISIT BUSAN"" 음식 일러스트라 제외. 운영자가 페이지에서 실제 사진 확인 권장."
saengdal-gwangalli-jin-doejigomtang,진돼지곰탕,review_needed,review,article,https://www.diningcode.com/profile.php?rid=1Qyoo0oTqgd2,,,공식 홈페이지 없음. 톱스타뉴스 등 기사(REVIEW) 존재. 그 외는 블로그/다이닝코드(UGC). 운영자 판단 필요.
saengdal-suyeong-dongyang-sarada-namcheon,동양사라다 남천본점,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?rid=I4gRgPexFROu,,,샐러드빵 베이커리. 공식 홈페이지 없음. 블로그·다이닝코드·트립(UGC)만. SAFE 후보 없음.
baekban-dongnae-pajeon,동래할매파전,review_needed,safe,public_tourism,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e4b90c28-16ca-4349-857f-0ed4b0a49b6d,,,한국관광공사 대한민국 구석구석 + Visit Busan 에 동래파전 사진 있음(SAFE). 단 이미지가 JS 로딩이라 자동 다운로드 불가. 공식 홈페이지 사진은 저작권 제한 명시. 운영자가 관광공사 페이지에서 직접 저장 가능.
ddoganjip-hapcheon-ilryu-dwaeji-gukbap,합천일류돼지국밥,review_needed,safe,public_tourism,https://www.visitbusan.net/index.do?menuCd=DOM_000000201002001000&uc_seq=167&lang_cd=ko,,,"Visit Busan + 관광공사 등재(SAFE). 단 Visit Busan 항목은 placeholder(사진 미업로드), 관광공사는 JS 로딩 → 자동추출 불가. 운영자 수동 확보 권장."
saengdal-haeundae-amisan,아미산,review_needed,review,official_site,https://chineserestaurant.co.kr/,,,"자체 도메인 공식 홈페이지 있음. 불도장 등 음식사진 있으나 ""아미산"" 워터마크가 박혀 있어 규칙상 SAFE 다운로드 제외(REVIEW). 일부 갤러리컷은 빈 룸 사진. 운영자 판단 필요."
pungja-namgu-hapcheon-gukbap,합천국밥집,review_needed,safe,public_tourism,https://www.visitbusan.net/index.do?menuCd=DOM_000000201002001000&uc_seq=1511&lang_cd=ko,,,Visit Busan 등재(SAFE)이나 placeholder(사진 미업로드). 미쉐린 가이드 페이지(REVIEW)는 403. 운영자 수동 확보 권장.
tzuyang-yeonje-yeonji-yanggopchang,연지가양곱창,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?rid=XeLkElot1TNW,,,공식 홈페이지 없음. 다이닝코드·식신·트립(UGC)만. SAFE 후보 없음.
saengbang-gwangalli-sanhae-hoejip,산해횟집,review_needed,review,article,https://www.imaeil.com/page/view/2019072417305114614,,,공식 홈페이지 없음. 매일신문 기사(REVIEW)가 최선이나 첨부 이미지는 음식이 아닌 네이버지도 캡처. 그 외 다이닝코드/인스타(UGC). 운영자 직접 확인 필요.
baekban-nampo-18-wandang,18번완당집,review_needed,review,article,https://www.thingoolmarket.com/goods/goods_view.php?goodsNo=1000025031,,,공식 홈페이지 없음. 밀키트 판매처(띵굴마켓/컨비니)에 완당 제품사진 있으나 식당 자체 권리 아님(REVIEW). 운영자 판단 필요.
baekban-yeongdo-jungri-haenyeochon,영도 중리해녀촌,review_needed,safe,public_tourism,https://www.visitbusan.net/index.do?menuCd=DOM_000000202008001000&uc_seq=2097&lang_cd=ko,,,부산시 관광(Visit Busan) 페이지 존재(SAFE)이나 음식사진은 placeholder GIF 로 표시. 운영자 수동 확보 권장.
baekban-yeonje-godeungeo-datchi,고등어다찌 연산본점,review_needed,safe,public_tourism,https://www.visitbusan.net/index.do?menuCd=DOM_000000201002001000&uc_seq=1836&lang_cd=ko,,,공식 홈페이지 없음. Visit Busan(SAFE) 음식 페이지 존재. 이미지 JS 로딩으로 자동추출 불가. 운영자 수동 확보 권장.
saengdal-namgu-daeyeon-milmyeon,대연밀면,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?rid=dQP7PwVP7wsG,,,공식 홈페이지 없음. 관광페이지엔 동래밀면/개금밀면만 등재(대연밀면 아님). 다이닝코드·블로그(UGC)만. SAFE 후보 없음.
sungsik-nampodong-jungang-gomtang,중앙곰탕,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?rid=y0PHoZs4lsOv,,,공식 홈페이지 없음. 다이닝코드·식신·트립·페이스북(UGC)만. SAFE 후보 없음.
saengdal-yeonje-gukje-milmyeon,국제밀면 본점,review_needed,safe,public_tourism,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=58680c46-8aad-4dea-b535-fa37dc79207f,,,관광공사 밀면 BEST4 여행기사 + Visit Busan(SAFE). 이미지 JS 로딩으로 자동추출 불가. 공식 홈페이지 없음. 운영자 수동 확보 권장.
2tv-gwangan-kuromatsu,구로마쯔,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?rid=ta39NAephRIJ,,,공식 홈페이지 없음. 캐치테이블·다이닝코드·블로그(UGC)만. SAFE 후보 없음.
sokssiwonhan-daegutang-haeundae,속씨원한 대구탕 해운대 본점,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?rid=qSqtXOfikFAV,,,공식 홈페이지/관광페이지 없음. 다이닝코드·식신·트립 등 리뷰플랫폼 사용자사진만. (미포본점 표기 혼재) SAFE 후보 없음.
ddoganjip-pungnyeon-gopchang,풍년곱창,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?rid=&query=풍년곱창,,,공식 홈페이지 없음. 메뉴판닷컴(외관컷)·다이닝코드·캐치테이블(UGC)만. SAFE 음식사진 없음.
tzuyang-nampo-ssiat-hotteok,남포동 씨앗호떡,no_candidate_found,unknown,unknown,https://encykorea.aks.ac.kr/Article/E0079938,,,남포동 씨앗호떡은 BIFF광장 다수 노점의 통칭 — 단일 식당 공식출처 없음. 한국민족문화대백과 참고만. 대표 단일 사진 특정 불가.
hibab-cheongsa-hoe-center,청사포 회센터,no_candidate_found,unknown,unknown,,,,"""회센터""는 청사포 밀집 횟집의 통칭 — 정확히 일치하는 단일 식당/공식출처 없음. 데이터 확인 권장."
saengdal-yeongdo-sato-bunsik,사또분식,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?query=사또분식,,,공식 홈페이지 없음. 인스타·폴레·블로그(UGC)만. SAFE 후보 없음.
hanyakbang-gukbap-hyeongje-food,한약방돼지국밥 형제식품,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?rid=EzK2YnN7xqzD,,,공식 홈페이지 없음. 다이닝코드·캐치테이블·인스타·브런치(UGC)만. SAFE 후보 없음.
oneuln-nampo-sammi-jip,삼미집,review_needed,review,article,https://www.wikifoodie.co.kr/news/articleView.html?idxno=1152,,,"공식 홈페이지 없음. 위키푸디 기사(REVIEW)가 최선이나 첨부 이미지가 ""셔터스톡 참고용"" 으로 명시 — 실제 식당 음식 아님. 사용 금지. 운영자 직접 확인 필요."
